Sweeper Magnet OFF
RunNum,OpticsID,CentralAngle,CentralP,Ep,xcentral,xsigma

KinC_x36_3
Runs 1250-1259 p=-6.117
1250,1250,19.26,-6.117,0,0,0
1251,1251,20.700,-6.117,0,0,0
1252,1252,20.700,-6.117,0,0,0
1259,1259,22.12,-6.117,0,0,0

KinC_x25_3'
Runs 1266-1269, p=-5.639
1266,1266,12.385,-5.639,0,0,0
1267,1267,21.27,-5.639,0,0,0
1268,1268,22.7,-5.639,0,0,0
1269,1269,24.30,-5.639,0,0,0

KinC_x60_3
Runs 1714-1716, p=-5.878
1714,1714,22.835,-5.878,0,0,0
1715,1715,21.685,-5.878,0,0,0
1716,1716,20.545,-5.878,0,0,0

KinC_x50_2
Runs 1534-1536, p=-6.667
1534,1534,19.145,-6.667,0,0,0
1535,1535,17.995,-6.667,0,0,0
1536,1536,16.850,-6.667,0,0,0


